Country,2050,2040,2030,2020,2010,2000,1990,1980,1970,1960,1950,Region,Lat,Long
Algeria,82.1,79.9,77.4,73.4,67.5,59.9,52.1,43.5,39.5,30.5,22.2,Africa,28,3
Angola,63.8,59.4,54.4,47.8,40.1,32.4,25.6,19.8,15,10.4,7.6,Africa,-12.5,18.5
Benin,61.3,56.4,51.3,46.3,41.9,38.3,34.5,27.3,16.7,9.3,5,Africa,9.5,2.2
Botswana,69.9,66.1,62.2,58.9,56.2,53.2,41.9,16.5,7.8,3.1,2.7,Africa,-22,24
Burkina Faso,52,46.5,41,33.9,25.7,17.8,13.8,8.8,5.7,4.7,3.8,Africa,13,-2
Burundi,26.3,21.5,17.3,13.6,10.6,8.2,6.3,4.3,2.8,2.1,1.7,Africa,-3.5,30
Cameroon,70,66.1,62,57.1,51.5,45.5,39.7,31.9,20.3,13.9,9.3,Africa,6,12
Central African Republic,56.9,51.6,46.3,41.7,38.8,37.6,36.8,33.9,27.5,20.1,14.4,Africa,7,21
Chad,37.1,31.5,26.6,23.4,22,21.6,20.8,18.8,11.6,6.7,4.5,Africa,15,19
Comoros,38.2,34.8,31.5,29,27.9,28.1,27.9,23.2,19.4,12.6,6.6,Africa,-12.2,44.2
Congo,77.2,74.3,71.1,67.4,63.2,58.7,54.3,47.9,39.1,31.6,24.9,Africa,-1,15
Equatorial Guinea,50.9,47.4,44,41,39.2,38.8,34.7,27.9,27,25.5,15.5,Africa,8,-5
Eritrea,42.1,35.9,30.2,25,20.6,17.6,15.8,14.4,12.6,9.8,7.1,Africa,2,10
Ethiopia,37.6,32.1,26.8,21.8,17.3,14.7,12.6,10.4,8.6,6.4,4.6,Africa,15,39
Gabon,91,90.1,89.1,88,85.7,80.1,69.1,54.7,32,17.4,11.4,Africa,8,38
Gambia,71.3,68.7,66,62.3,56.3,47.9,38.3,28.4,19.5,12.1,10.3,Africa,-1,11.8
Ghana,70.5,66.8,62.6,57.2,50.7,43.9,36.4,31.2,29,23.3,15.4,Africa,13.5,-16.6
Guinea,56.3,50.7,45.1,39.7,34.9,31,28,23.6,16,10.5,6.7,Africa,8,-2
Guinea-Bissau,64.7,61.8,58.4,52.9,45.2,36.7,28.1,17.6,15.1,13.6,10,Africa,11,-10
Kenya,43.9,38.2,32.8,27.9,23.6,19.9,16.7,15.6,10.3,7.4,5.6,Africa,12,-15
Lesotho,46.7,41.1,35.6,30,24.8,19.5,14,11.5,8.6,3.5,1.8,Africa,1,38
Liberia,65.2,60.8,56.2,51.8,47.8,44.3,55.4,35.2,26,18.6,13,Africa,-29.5,28.5
Madagascar,55,49.7,44.3,38.3,31.9,27.1,23.6,18.5,14.1,10.6,7.8,Africa,6.5,-9.5
Malawi,30.2,25,20.4,17.3,15.5,14.6,11.6,9.1,6.1,4.4,3.5,Africa,-20,47
Mali,60.3,55.4,50.3,43.7,36,28.4,23.3,18.5,14.3,11.1,8.5,Africa,-13.5,34
Mauritania,74.1,70.6,66.9,62.6,56.7,49.2,41.3,27.4,14.6,6.9,3.1,Africa,17,-4
Mauritius,46.3,42.8,40,39.3,40.6,42.7,43.9,42.4,42,33.2,29.3,Africa,20,-12
Mozambique,49.1,43.5,38.1,33.8,31,29.1,25,13.1,7,4.8,3.5,Africa,-20.3,57.5
Namibia,67.8,63.8,58.8,51.3,41.6,32.4,27.7,25.1,22.3,17.9,13.4,Africa,-18.2,35
Niger,35.4,29.7,24.6,20.3,17.6,16.2,15.4,13.4,8.8,5.8,4.9,Africa,-22,17
Nigeria,67.1,63,58.3,51.7,43.5,34.8,29.7,22,17.8,15.4,7.8,Africa,16,8
Rwanda,52.6,47.2,41.5,33.5,24,14.9,5.4,4.7,3.2,2.6,2.1,Africa,10,8
Sao Tome and Principe,75.5,73.2,70.8,67.6,61.9,53.4,43.6,33.5,29.5,16.1,13.5,Africa,-2,30
Senegal,60.5,55.4,50.3,45.6,42.2,40.3,38.9,35.8,30,23,17.2,Africa,1,7
Sierra Leone,57.2,52,46.7,41.9,38.2,35.6,33.3,29.8,24,17.4,12.6,Africa,14,-14
South Africa,77.4,74.6,71.3,67.2,62.2,56.9,52,48.4,47.8,46.6,42.2,Africa,8.5,-11.5
Togo,57.9,52.9,47.7,42.5,37.5,32.9,28.6,24.7,21.3,10.1,4.4,Africa,-29,24
Uganda,32.1,26.8,22,17.9,14.5,12.1,11.1,7.5,6.7,4.4,2.8,Africa,8,1.2
Zambia,58.3,53.3,48.2,43.3,38.7,34.8,39.4,39.8,30.4,18.1,11.5,Africa,1,32
Zimbabwe,43.7,38.1,33.8,32.2,33.2,33.8,29,22.4,17.4,12.6,10.6,Africa,-15,30
Argentina,94.7,94.1,93.4,92.4,91,89.1,87,82.9,78.9,73.6,65.3,Americas,-20,30
